x,y,w,h
395,208,337,337
392,208,337,337
386,208,333,333
383,204,337,337
381,198,347,347
376,205,332,332
377,204,332,332
370,210,326,326
362,203,341,341
367,209,325,325
373,215,309,309
369,206,323,323
368,203,335,335
365,200,337,337
367,206,331,331
369,201,336,336
368,207,331,331
368,207,331,331
368,202,335,335
369,196,347,347
366,204,327,327
367,204,326,326
368,208,319,319
363,192,361,361
371,200,348,348
369,211,350,350
386,212,351,351
402,248,291,291
424,227,341,341
448,248,298,298
478,235,319,319
503,215,366,366
542,223,352,352
583,230,340,340
612,228,346,346
639,230,362,362
676,234,354,354
685,234,367,367
710,242,359,359
747,252,339,339
751,250,355,355
747,239,379,379
735,244,370,370
739,246,363,363
715,233,388,388
707,243,367,367
686,240,368,368
651,232,371,371
605,221,382,382
585,223,355,355
543,244,292,292
491,239,296,296
442,231,303,303
383,217,333,333
324,211,345,345
279,224,327,327
227,224,346,346
192,228,344,344
172,234,333,333
159,241,326,326
149,238,335,335
150,230,343,343
161,227,355,355
179,225,362,362
209,242,318,318
252,232,326,326
297,235,313,313
350,233,311,311
396,228,322,322
453,231,317,317
488,202,392,392
531,201,399,399
571,201,405,405
601,206,405,405
646,216,398,398
670,222,391,391
693,228,391,391
694,226,412,412
711,238,393,393
720,237,399,399
715,241,398,398
730,244,395,395
735,249,397,397
729,244,408,408
718,250,405,405
724,257,398,398
711,253,411,411
713,254,395,395
721,251,381,381
715,242,374,374
737,244,354,354
695,222,367,367
692,221,358,358
677,215,357,357
665,216,362,362
674,222,359,359
653,222,377,377
647,232,388,388
645,246,394,394
641,258,410,410
640,274,410,410
646,277,412,412
676,286,392,392
655,267,378,378
632,235,389,389
599,227,356,356
594,216,344,344
574,206,331,331
571,202,320,320
558,197,318,318
553,200,316,316
524,199,339,339
507,204,338,338
491,206,351,351
472,209,378,378
457,218,389,389
451,233,382,382
427,234,399,399
416,235,391,391
411,234,368,368
407,231,347,347
404,220,332,332
393,210,334,334
386,207,327,327
376,204,323,323
363,202,329,329
348,204,328,328
325,205,336,336
300,214,337,337
277,234,315,315
241,221,370,370
217,237,371,371
186,243,404,404
168,256,399,399
147,248,412,412
146,259,399,399
154,260,367,367
162,249,356,356
170,238,341,341
183,240,324,324
187,230,324,324
194,232,315,315
196,229,311,311
195,228,312,312
199,233,302,302
199,234,304,304
197,237,304,304
191,237,309,309
188,238,307,307
181,239,314,314
177,244,314,314
175,247,317,317
171,256,316,316
167,264,320,320
169,274,319,319
174,280,325,325
187,288,319,319
202,293,311,311
215,292,313,313
235,295,305,305
260,297,304,304
291,298,301,301
323,304,302,302
359,307,298,298
396,314,296,296
433,311,303,303
473,308,302,302
503,304,308,308
536,298,307,307
566,297,295,295
589,292,294,294
616,291,281,281
626,280,291,291
643,277,281,281
649,275,279,279
656,276,275,275
657,277,272,272
654,276,276,276
658,277,276,276
652,277,283,283
655,277,282,282
658,279,284,284
666,282,281,281
672,282,281,281
670,283,288,288
672,283,288,288
673,284,284,284
668,284,284,284
664,279,298,298
665,278,302,302
661,280,301,301
651,280,296,296
642,278,296,296
632,276,287,287
621,269,300,300
612,267,299,299
604,264,304,304
591,263,293,293
570,259,302,302
560,259,292,292
551,250,297,297
541,249,299,299
532,247,294,294
512,246,300,300
493,241,303,303
474,239,306,306
461,241,304,304
450,237,307,307
430,236,313,313
418,238,305,305
402,233,305,305
384,228,313,313
363,224,318,318
344,223,318,318
327,224,315,315
310,226,315,315
295,224,317,317
286,223,318,318
272,222,320,320
263,218,326,326
257,219,328,328
256,217,325,325
253,218,324,324
252,216,326,326
254,218,322,322
261,210,331,331
285,208,327,327
304,202,330,330
321,202,329,329
326,200,338,338
338,203,328,328
353,204,337,337
369,202,350,350
385,204,343,343
401,210,330,330
410,208,336,336
427,207,330,330
452,210,327,327
475,216,321,321
482,214,330,330
493,218,316,316
497,213,322,322
506,211,328,328
527,212,330,330
540,209,346,346
554,215,333,333
577,223,311,311
576,215,341,341
591,217,338,338
607,218,342,342
625,226,338,338
623,226,342,342
639,228,331,331
647,234,318,318
641,232,323,323
637,231,322,322
635,228,325,325
632,227,320,320
627,230,318,318
611,221,335,335
608,224,331,331
602,225,332,332
600,223,334,334
599,223,326,326
601,226,317,317
591,225,327,327
588,221,331,331
585,217,335,335
586,217,336,336
584,215,337,337
581,214,340,340
578,215,341,341
570,213,346,346
563,212,354,354
562,209,350,350
557,210,351,351
553,207,362,362
552,205,359,359
547,205,359,359
547,205,355,355
544,206,353,353
542,205,357,357
541,206,351,351
538,207,353,353
540,210,349,349
540,210,349,349
538,207,349,349
540,205,351,351
536,205,354,354
538,205,349,349
537,204,357,357
537,206,354,354
535,205,357,357
539,209,350,350
539,207,349,349
537,205,355,355
537,208,352,352
539,207,351,351
535,206,354,354
