Name,Value,Time
Apple,861,2
NVIDIA,117,2
Microsoft,660,2
Amazon,564,2
Alphabet,729,2
Meta,513,2
Tesla,52,2
TSMC,199,2
BerkshireHathaway,489,2
Broadcom,105,2
Walmart,293,2
EliLilly,93,2
JPMorganChase,371,2
Visa,266,2
UnitedHealth,214,2
ExxonMobil,354,2
Oracle,196,2
Mastercard,160,2
NovoNordisk,131,2
Tencent,493,2
Costco,82,2
HomeDepot,221,2
Proctor&Gamble,233,2
Netflix,83,2
Apple,609,1
NVIDIA,58,1
Microsoft,483,1
Amazon,356,1
Alphabet,539,1
Meta,332,1
Tesla,34,1
TSMC,146,1
BerkshireHathaway,402,1
Broadcom,71,1
Walmart,212,1
EliLilly,81,1
JPMorganChase,309,1
Visa,187,1
UnitedHealth,152,1
ExxonMobil,374,1
Oracle,158,1
Mastercard,113,1
NovoNordisk,94,1
Tencent,230,1
Costco,70,1
HomeDepot,163,1
Proctor&Gamble,225,1
Netflix,53,1
Apple,584,0
NVIDIA,18,0
Microsoft,440,0
Amazon,318,0
Alphabet,528,0
Meta,297,0
Tesla,32,0
TSMC,110,0
BerkshireHathaway,325,0
Broadcom,40,0
Walmart,196,0
EliLilly,93,0
JPMorganChase,242,0
Visa,186,0
UnitedHealth,112,0
ExxonMobil,324,0
Oracle,153,0
Mastercard,109,0
NovoNordisk,152,0
Tencent,185,0
Costco,71,0
HomeDepot,168,0
Proctor&Gamble,215,0
Netflix,49,0
