Name,Value,Time
Apple,367,4
Apple,367,5
NVIDIA,343,4
NVIDIA,343,5
Microsoft,321,4
Microsoft,321,5
Apple,299,2
Apple,299,3
Microsoft,279,2
Microsoft,279,3
Amazon,224,4
Amazon,224,5
Alphabet,211,4
Alphabet,211,5
Apple,207,0
Apple,207,1
Microsoft,179,0
Microsoft,179,1
Alphabet,176,2
Alphabet,176,3
Amazon,157,2
Amazon,157,3
Meta,155,4
Meta,155,5
NVIDIA,122,2
NVIDIA,122,3
Alphabet,115,0
Alphabet,115,1
Tesla,113,4
Tesla,113,5
TSMC,103,4
TSMC,103,5
BerkshireHathaway,101,4
BerkshireHathaway,101,5
Meta,91,2
Meta,91,3
Amazon,86,0
Amazon,86,1
BerkshireHathaway,78,2
Tesla,79,2
BerkshireHathaway,78,3
Tesla,79,3
Broadcom,79,4
Broadcom,79,5
BerkshireHathaway,68,0
BerkshireHathaway,68,1
TSMC,54,2
TSMC,54,3
Broadcom,46,2
Broadcom,46,3
TSMC,39,0
Tesla,39,0
TSMC,39,1
Tesla,39,1
NVIDIA,36,0
NVIDIA,36,1
Meta,32,0
Meta,32,1
Broadcom,23,0
Broadcom,23,1
