Name,Value,Time
2024_1,367,0
2023_1,299,0
2022_1,207,0
2021_1,290,0
2020_1,226,0
2019_1,129,0
2018_1,75,0
2017_1,86,0
2016_1,61,0
2015_1,58,0
2024_2,343,0
2023_2,122,0
2022_2,36,0
2021_2,74,0
2020_2,32,0
2019_2,14,0
2018_2,8,0
2017_2,12,0
2016_2,6,0
2015_2,2,0
2024_1,367,2.25
2023_1,299,2.25
2022_1,207,2.25
2021_1,290,2.25
2020_1,226,2.25
2019_1,129,2.25
2018_1,75,2.25
2017_1,86,2.25
2016_1,61,2.25
2015_1,58,2.25
2024_2,343,2.25
2023_2,122,2.25
2022_2,36,2.25
2021_2,74,2.25
2020_2,32,2.25
2019_2,14,2.25
2018_2,8,2.25
2017_2,12,2.25
2016_2,6,2.25
2015_2,2,2.25
2024_1,321,2.75
2023_1,279,2.75
2022_1,179,2.75
2021_1,252,2.75
2020_1,168,2.75
2019_1,120,2.75
2018_1,78,2.75
2017_1,66,2.75
2016_1,48,2.75
2015_1,44,2.75
2024_2,224,2.75
2023_2,157,2.75
2022_2,86,2.75
2021_2,169,2.75
2020_2,163,2.75
2019_2,92,2.75
2018_2,74,2.75
2017_2,56,2.75
2016_2,36,2.75
2015_2,32,2.75
