Name,Value,Time
X5,115,0
Y5,28,0
X5,115,1
Y5,28,1
X5,176,2
Y5,31,2
X5,176,3
Y5,31,3
X5,211,4
Y5,35,4
X5,211,5
Y5,35,5
X4,86,0
Y4,51,0
X4,86,1
Y4,51,1
X4,157,2
Y4,57,2
X4,157,3
Y4,57,3
X4,224,4
Y4,64,4
X4,224,5
Y4,64,5
X1,207,0
Y1,39,0
X1,207,1
Y1,39,1
X1,299,2
Y1,39,2
X1,299,3
Y1,39,3
X1,367,4
Y1,40,4
X1,367,5
Y1,40,5
X9,68,0
Y9,23,0
X9,68,1
Y9,23,1
X9,78,2
Y9,44,2
X9,78,3
Y9,44,3
X9,101,4
Y9,42,4
X9,101,5
Y9,42,5
Y10,4,0
Y10,4,0
Y10,4,1
Y10,4,1
Y10,5,2
Y10,5,2
Y10,5,3
Y10,5,3
Y10,6,4
Y10,6,4
Y10,6,5
Y10,6,5
X6,32,0
Y6,8,0
X6,32,1
Y6,8,1
X6,91,2
Y6,12,2
X6,91,3
Y6,12,3
X6,155,4
Y6,12,4
X6,155,5
Y6,12,5
X3,179,0
Y3,20,0
X3,179,1
Y3,20,1
X3,279,2
Y3,23,2
X3,279,3
Y3,23,3
X3,321,4
Y3,26,4
X3,321,5
Y3,26,5
X2,36,0
Y2,3,0
X2,36,1
Y2,3,1
X2,122,2
Y2,6,2
X2,122,3
Y2,6,3
X2,343,4
Y2,13,4
X2,343,5
Y2,13,5
X7,39,0
Y7,8,0
X7,39,1
Y7,8,1
X7,79,2
Y7,10,2
X7,79,3
Y7,10,3
X7,113,4
Y7,10,4
X7,113,5
Y7,10,5
X8,39,0
Y8,7,0
X8,39,1
Y8,7,1
X8,54,2
Y8,7,2
X8,54,3
Y8,7,3
X8,103,4
Y8,9,4
X8,103,5
Y8,9,5
